AGENZIA PROVICIALE PER L'ASSISTENZA E LA PREVIDENZA INTEGRATIVA,50,9838,186102,medium,9/10/2009,9,10,200
AZIENDA ESERCIZIO GAS SOCIETA' COOPERATIVA A R.L.,51,754,185494,medium,3/26/2009,3,26,200
PROMETEO - S.P.A.,52,7230,183693,medium,5/18/2009,5,18,200
LOMBARDIA INFORMATICA S.P.A. O BREVEMENTE LISPA,53,6377,182004,medium,6/23/2009,6,23,200
MILANO SERRAVALLE - MILANO TANGENZIALI S.P.A.,54,6505,178291,medium,11/21/2009,11,21,200
ENERGIA TERRITORIO RISORSE AMBIENTALI - ETRA S.P.A.,55,5340,176419,medium,10/1/2008,10,1,200
CENTRO PENSIONI COMPLEMENTARI REGIONALI SOCIETA' PER AZIONI  IN BREVE PENSPLAN CENTRUM S.P.A. O CENTRUM S.P.A.,56,1477,173918,medium,11/10/2009,11,10,200
CTT NORD - S.R.L.,57,5202,170668,medium,11/6/2009,11,6,200
CENTRALE DEL LATTE DI FIRENZE  PISTOIA E LIVORNO SOCIETA' PER AZIONI,58,1436,170629,medium,6/1/2008,6,1,200
Azienda regionale per il diritto allo studio universitario della Toscana,59,9130,169342,medium,11/10/2009,11,10,200
FERROVIE EMILIA ROMAGNA SOCIETA A RESPONSABILITA LIMITATATA IN SIGLA FER SRL,11,5629,167160,low,11/2/2009,11,2,200
AMIACQUE SRL,61,334,163777,medium,11/19/2009,11,19,200
AZIENDA SPECIALE FARMACIE COMUNALI RIUNITE,62,9045,163182,medium,11/19/2009,11,19,200
FNM S.P.A.,63,5723,162579,medium,11/19/2009,11,19,200
Ente Foreste della Sardegna,64,9763,161950,medium,11/19/2009,11,19,200
A.S.A. - AZIENDA SERVIZI AMBIENTALI S.P.A.,65,55,155846,medium,11/19/2009,11,19,200
LARIO RETI HOLDING S.P.A. IN ACRONIMO LRH S.P.A.,66,6307,155580,medium,1/8/2009,1,8,200
ATC TORINO,67,8880,155310,medium,2/19/2010,2,19,201
BRESCIA INFRASTRUTTURE S.R.L.,68,1090,150237,medium,5/1/2008,5,1,200
CSI PIEMONTE CONSORZIO PER IL SISTEMA INFORMATIVO,69,8873,147067,medium,9/17/2008,9,17,200
AZIENDA SERVIZI IGIENE AMBIENTALE - NAPOLI S.P.A. IN FORMA ABBREVIATA A.S.I.A.-NAPOLI S.P.A.,70,862,146023,medium,11/10/2009,11,10,200
AREXPO S.P.A.,71,458,144948,medium,12/1/2008,12,1,200
CASINO DE LA VALLEE S.P.A. SIGLABILE IN CAVA S.P.A.,11,1344,143173,low,11/2/2009,11,2,200
Azienda Reg.le Sarda Trasporti,73,9773,139915,medium,12/17/2009,12,17,200
G.A.I.A. S.P.A.,74,5815,138036,medium,6/1/2008,6,1,200
G.O.R.I. S.P.A. - GESTIONE OTTIMALE RISORSE IDRICHE,75,5837,132486,medium,11/13/2009,11,13,200
Agenzia provinciale per l'incentivazione delle attivita' economiche (APIAE),76,9851,132439,medium,10/22/2009,10,22,200
AZIENDA MULTISERVIZI E D'IGIENE URBANA GENOVA S.P.A.-IN FORMA ABBREVIATA A.M.I.U.GENOVA S.P.A.,11,785,132430,low,11/2/2009,11,2,200
ACQUEDOTTO DEL FIORA SOCIETA' PER AZIONI O IN FORMA ABBREVIATA ACQUEDOTTO DEL FIORA S.P.A.,11,140,130832,low,11/2/2009,11,2,200
FINEST S.p.A. - Pordenone,79,5685,129773,375030,medium,10/26/2009,10,26,200
SOELIA S.P.A.,80,7896,128146,medium,10/30/2009,10,30,200
Agenzia Regionale Sanitaria,81,9519,126332,medium,6/15/2009,6,15,200
AEROPORTO GUGLIELMO MARCONI DI BOLOGNA S.P.A.,82,181,125683,medium,3/18/2010,3,18,201
ISTITUTO TRENTINO PER L'EDILIZIA ABITATIVA - SOCIETA' PER AZIONI IN SIGLA ITEA S.P.A.,83,6213,123441,medium,8/28/2009,8,28,200
AMAT PALERMO S.P.A.,11,316,122581,low,11/2/2009,11,2,200
Camera di Commercio Industria Artigianato Agricoltura di Roma,85,9290,122295,medium,11/1/2009,11,1,200
GEOFOR S.P.A.,11,5924,121416,low,11/2/2009,11,2,200
SICILIA EMERGENZA - URGENZA SANITARIA SOCIETA' CONSORTILE PER AZIONI,87,7654,120404,medium,10/15/2009,10,15,200
SOCIETA' AEREOPORTO TOSCANO(S.A.T.)GALILEO GALILEI SPA,88,7730,118305,medium,11/4/2009,11,4,200
BRESCIA MOBILITA' S.P.A. - SOCIETA' METROPOLITANA DI MOBILITA' IN BREVITA' BRESCIA MOBILITA' SPA,89,1091,118219,medium,11/1/2008,11,1,200
AZIENDA ENERGIA E SERVIZI TORINO S.P.A. SIGLABILE A E S TORINO S.P.A.,90,753,114972,medium,8/28/2009,8,28,200
TRENTINO NETWORK S.R.L.,91,8131,114414,medium,10/26/2009,10,26,200
FONDAZIONE TEATRO ALLA SCALA DI MILANO,92,8605,113518,medium,3/6/2009,3,6,200
MARCHE MULTISERVIZI SPA,93,6427,113458,medium,10/22/2008,10,22,200
A.S.M. - AMBIENTE/SERVIZI/MOBILITA' S.P.A.,94,61,113015,medium,10/26/2009,10,26,200
PUBLISERVIZI S.P.A.,95,7312,112859,medium,11/8/2009,11,8,200
